Artist First Name,Artist Last Name,Artist Page ID,DOB,DOD,Known As,Description,Full Obit,Image,Photo Credit,Photo caption,Start time in mix,Song Name,,,,,,,,,
Johnny,Otis,,12/28/1921,1/17/2012,R&B Pioneer.,"The bandleader, composer and radio and TV host wrote ""Willie And The Hand Jive"" and discovered many of R&B's greatest voices.",http://www.npr.org/blogs/therecord/2012/01/19/145466792/johnny-otis-rhythm-and-blues-pioneer-has-died,http://media.npr.org/assets/img/2012/01/20/johnny_otis_band.jpg,Charlie Gillett Collection/Redferns Via Getty Images,"Johnny Otis (center), shown playing with his band The Johnny Otis Revue.",0:00:01,"""Willie & The Hand Jive""",,,,,,,,,
Etta ,James,15401883,1/25/1938,1/20/2012,Matriarch of the Blues.,The “At Last” singer had grit in her voice that could melt like sugar or rub salt in a wound.,http://www.npr.org/2012/01/20/123125338/remembering-etta-james-stunning-singer,http://media.npr.org/assets/img/2011/08/04/gettyimages_81954166_archive.jpg,Getty Images,"Etta James rehearses a song before recording at Fame Studios circa 1967 in Muscle Shoals, Ala.",0:00:12,"""I'd Rather Go Blind"" ",,,,,,,,,
Don,Cornelius,,9/27/1936,2/1/2012,Host & Creator of &lsquo;Soul Train.&rsquo;,"His show proved that undiluted black culture, expressed unapologetically, could become mainstream.",http://www.npr.org/blogs/therecord/2012/02/01/146199087/soul-train-creator-don-cornelius-dies-at-75,http://seamus.npr.org/assets/img/2012/02/01/1317729_slide.jpg,Getty Images,"In this television still, Aretha Franklin sings next to Cornelius. ",0:00:28,,,,,,,,,,
Whitney,Houston,16295375,8/9/1963,2/11/2012,Pop Music Icon.,"One of the world’s biggest-selling artists during a heyday that stretched from the mid-1980s through the late ‘90s and included such massive hits as “How Will I Know,” “I Wanna Dance With Somebody (Who Loves Me)” and “I Will Always Love You.”",http://www.npr.org/blogs/therecord/2012/02/12/146753502/whitney-houston-has-died,http://media.npr.org/assets/img/2012/02/11/gettyimages_74961107_archive.jpg,David Corio/Getty Images,Whitney Houston performs in 1988.,0:00:45,"""How Will I Know""",,,,,,,,,
Davy ,Jones,15398067,12/30/1945,2/29/2012,Singer for The Monkees.,The actor-turned-teen idol made his name as part of the made-for-TV band in the 1960s.,http://www.npr.org/blogs/therecord/2012/02/29/147651486/davy-jones-singer-actor-and-monkee-has-died,http://media.npr.org/assets/img/2012/02/29/3228557_archive.jpg,"Keystone Features/Getty Images

",Davy Jones in 1968,0:01:00,"""Daydream Believer""",,,,,,,,,
Dick,Clark,,11/30/1929,4/18/2012,Host of &lsquo;American Bandstand.&rsquo;,"For more than 50 years, “the world’s oldest teenager” was one of pop culture’s most familiar figures.",http://www.npr.org/2012/04/18/106086926/dick-clark-bandstand-host-dead-at-82,http://seamus.npr.org/tmp/images/assets/img/2012/04/18/dick_clark3_archive.jpg,ABC Photo Archive/Getty Images,Dick Clark hosts <em>American Bandstand</em> in 1958.,0:01:15,,,,,,,,,,
Levon,Helm,15696041,5/26/1940,4/19/2012,Drummer and Singer in The Band.,"Helm played superpowered, shifting backbeats, helped Bob Dylan go electric and sang some of The Band’s biggest hits, including “The Weight” and “Up On Cripple Creek.”",http://www.npr.org/blogs/therecord/2012/04/19/150878648/levon-helm-drummer-and-singer-in-the-band-dies,http://media.npr.org/assets/img/2012/04/18/85115222_10_archive.jpg,Jan Persson/Redferns,Levon Helm performing with The Band in 1971.,0:01:23,"""The Weight"" ",,,,,,,,,
Adam,Yauch,15361878,8/5/1964,5/4/2012,MCA of the Beastie Boys.,"Even when his group was at its silliest, Yauch’s low, hoarse voice made him seem like the most mature member of the Beastie Boys. Over a career that went in many directions, from political advocate to filmmaker, he earned the title.",http://www.npr.org/blogs/therecord/2012/05/04/152027157/adam-yauch-co-founder-of-the-beastie-boys-dies,http://www.npr.org/assets/img/2012/12/11/adamyauch_l-busacca_wireimage_wireimage_archive.jpg,L Busacca/Wire Image,MCA (center) with Mike D and Ad-Rock in New York City in 1994,0:01:36,"""No Sleep Till Brooklyn""",,,,,,,,,
"Donald ""Duck""",Dunn,,11/24/1941,5/13/2012,Stax bassist.,"As one-fourth of Booker T. & the M.G.s, Dunn helped lay the foundation for Memphis Soul.",http://www.npr.org/blogs/therecord/2012/05/14/152678702/duck-dunn-stax-bassist-remembered-in-memphis,http://media.npr.org/assets/img/2012/05/14/dunn_archive.jpg,David Redfern/Redferns/Getty Images,"Donald ""Duck"" Dunn onstage about 1990.",0:01:48,"""Time Is Tight""",,,,,,,,,
Chuck,Brown,15297469,8/22/1936,5/16/2012,Go-go pioneer.,"Everyone from Eric B. and Rakim to Duran Duran sampled his music. Go-go eventually fell off the charts, but it never fell out of favor in D.C., Brown’s home town. Throw your hands up!",http://www.npr.org/blogs/therecord/2012/05/17/152854093/go-go-legend-chuck-brown-dies,http://seamus.npr.org/tmp/images/assets/img/2012/05/16/gettyimages_75021035_archive.jpg,Charlyn Zlotnik/Michael Ochs Archives/Getty Images,Chuck Brown (with guitar) leads his band in 1978.,0:01:55,"""Bustin’ Loose""",,,,,,,,,
Donna,Summer,152918320,12/31/1948,5/17/2012,Queen of Disco.,"Summer created dozens of hits, including “Love To Love You Baby” and “Bad Girls.” Over five decades, she combined a light touch, innovative sounds and an attention to detail that made her one of pop’s best performers.",http://www.npr.org/blogs/thetwo-way/2012/05/17/152917635/donna-summer-the-queen-of-disco-dies-at-63,http://www.npr.org/assets/img/2012/12/11/donnasummer_michael-ochs-archives_michael-ochs-archives_getty-images_archive.jpg,Michael Ochs Archives/Getty Images,Donna Summer performs in Atlanta in 1978.,0:02:07,"""Last Dance""",,,,,,,,,
Dietrich, Fischer-Dieskau,127039267,5/28/1925,5/18/2012,German Baritone.,"Unmatched among classical song interpreters for his lyricism and sensitivity, Fischer-Dieskau was called “a born god who has it all” by fellow legend Elizabeth Schwarzkopf.

",http://www.npr.org/2012/05/23/153380639/remembering-baritone-dietrich-fischer-dieskau,http://media.npr.org/assets/img/2012/05/23/2669888.jpg,"Erich Auerbach/Getty Images

",German baritone Dietrich Fischer-Dieskau performing in England in 1962.,0:02:20,“Mein” (Schubert),,,,,,,,,
Robin ,Gibb,,12/22/1949,5/20/2012,Bee Gee.,Robin called himself the shyest of the three Gibb brothers. He came across as the most serious Bee Gee and many of the songs on which he sings lead have a melancholy tone. ,http://www.npr.org/2012/05/21/151126992/bee-gee-robin-gibb-dies-of-cancer-at-62,http://www.npr.org/assets/img/2012/12/19/robin_gibb_archive.jpg,Hulton Archives/Getty Images,"Robin Gibb, of The Bee Gees, performing at the London Palladium, 1969.",0:02:29,"
""New York Mining Disaster 1941""",,,,,,,,,
